,,,,,"FPSO Bravo",,,,,,
,,,,,,,,,,,
,,,,,"CRUDE OIL SAMPLE ANALYSIS",,,,,,
,,,,,,,,,,,
,,"OFFLOADING REPORT",,,,,,,,,
,,,,,,,,,,,
,,"Tank Ship",,,"CEDAR",,,,,,
,,"Offloading Nº",,,"88 / BRA27A",,,,,,
,,"Offloading Cargo Quantity (m³/bbls)",,,"19.386,16 m³ / 121.919,56 bbls",,,,,,
,,"Start",,,"19/09/23 - 20:36h",,,,,,
,,"Finish",,,"20/09/23 - 4:36h",,,,,,
,,"Cargo Superintendent",,,"Domingos Caetano",,,,,,
,,"Laboratory Technician",,,"Leonardo Soares",,,,,,
,,"Inspector SAYBOLT",,,"Rafael Marinho",,,,,,
,,"Results - Offloading",,,,,,,,,
,,"Sample","Date","Time","BS&W","Salts",,"Density  ","API at","H2S in Liquid",
,,,,,"Centrifugação","Content (mg/L)","Content (ptb)","at 20ºC","60/60ºF","Phase (ppm)",
,,,,,"ASTM D4007","ASTM D3230",,"ASTM D5002","ASTM D5002","UOP 163-89",
,,"1","Tue Sep 19 00:00:00 PDT 2023","21:00","1.00",,,,,"10.88",
,,"2","Tue Sep 19 00:00:00 PDT 2023","22:00","0.80",,,,,"12.79",
,,"3","Tue Sep 19 00:00:00 PDT 2023","23:00","0.80",,,,,"13.97",
,,"4","Wed Sep 20 00:00:00 PDT 2023","0:00","0.80","285.00","99.89","0.9294","20.12","12.81",
,,"5","Wed Sep 20 00:00:00 PDT 2023","1:00","0.80",,,,,"13.77",
,,"6","Wed Sep 20 00:00:00 PDT 2023","2:00","1.00",,,,,"13.56",
,,"7","Wed Sep 20 00:00:00 PDT 2023","3:00","1.00",,,,,"12.87",
,,,,,,,,,,,
,,"Sample","Date","Time","BS&W","Salts",,"Density  ","Density  ","API at","H2S in Liquid"
,,,,,"Centrifugação","Content (mg/L)","Content (ptb)","at 20/4ºC","at 15ºC","60/60ºF","(ppm)"
,,"MANUAL BLEND ","9/20/2023","3:30","0.90","325.00","113.91","0.9290","0.9323","20.19","13.12"
,,"AUTOSAMPLER","9/20/2023","3:30","0.90","330.00","115.67","0.9301","0.9334","20.02","13.88"
,,"SHIP'S BLEND ","9/20/2023","5:15","1.00","378.00","132.49","0.9300","0.9333","20.03","13.11"
,,,,,,,,,,,
,,"Test Performed by:",,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,"Signature",,,,,,,,
,,"Técnico Químico e Processos",,,,,,,,,
,,,"Leonardo Madureira Soares",,,,,,,,
,,"CRQ  - 3° Região",,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,"Signature",,,,"Signature",,,,
,,,"Inspetor Saybolt",,,,"PetroRio Company Representative",,,,
,,,"Rafael Marinho",,,,"Domingos Caetano",,,,
